timestamp,agent,phase,hand,previous_bids,bid_choice,selected_card,current_trick,game_mode,bids,my_played_cards,global_played_cards,tricks_played,tricks_won,dealer_index
2025-02-21T09:23:59.480194,ML Agent 3,playing,4C,,,4C,1:2S;2:3H,HIGH,0:5C;3:7D,3H;7C;2D;8S;5D;8C;JC;TS;JS;QD;KC;KS;AD;KC;JH;AS;JS;8C;TD;7D;8S;7S;5S;3S;6C,2H;3H;4H;AH;2C;3C;7C;9C;5H;2S;8H;2D;3S;8S;7S;4S;5D;7D;3D;4D;6H;4C;9H;8C;5C;JC;AS;6C;TS;9S;6D;5S;JS;KD;8D;6S;QD;KH;9D;JD;KC;QH;TC;AC;JH;KS;TH;TD;QS;AD;7H;QC;3C;TC;AC;KC;AH;JH;5H;9H;KH;AS;7H;4H;QH;JS;2C;2H;JC;8C;5C;AD;JD;TD;KD;9D;QD;8D;4D;7D;5D;6D;TH;8S;KS;4S;7S;9S;QS;8H;5S;TS;6S;7C;3S;2D;3D;6H;6C;9C,12,2;5;5;0,
2025-02-21T09:52:35.126733,ML Agent 3,bidding,JC;AC;2H;3H;5H;QH;3S;7S;8S;JS;7D;JD;QD,,high,JC,,,,,,0,,2
2025-02-21T09:54:04.830985,ML Agent 2,bidding,2C;9C;TC;4H;QH;6S;TS;3D;4D;5D;7D;8D;9D,,high,6S,,,,,,0,,1
2025-02-21T09:54:59.445155,ML Agent 3,bidding,9C;KC;AC;4H;5H;7H;8H;2S;8S;TS;4D;5D;9D,0:TC,high,8S,,,,,,0,,3
2025-02-21T10:05:08.862915,ML Agent 3,bidding,2C;6C;7C;KC;5H;QH;KH;4S;QS;5D;6D;TD;JD,,low,JD,,,,,,0,,2
2025-02-21T10:05:13.834680,ML Agent 1,bidding,TC;JC;4H;6H;3S;JS;KS;2D;4D;8D;9D;KD;AD,3:JD;0:7D,low,9D,,,,,,0,,2
2025-02-21T10:05:14.336469,ML Agent 2,bidding,3C;5C;8C;9C;QC;3H;7H;9H;5S;7S;9S;TS;QD,3:JD;0:7D;1:9D,low,3H,,,,,,0,,2
2025-02-21T10:05:35.638220,ML Agent 3,bidding,2C;3C;8C;AH;2S;5S;8S;9S;KS;AS;2D;5D;JD,0:TC,high,9S,,,,,,0,,3
2025-02-21T10:11:39.241568,ML Agent 3,bidding,8C;TH;QH;6S;9S;TS;KS;AS;2D;4D;5D;7D;8D,0:3S,high,6S,,,,,,0,,3
2025-02-21T10:11:49.619177,ML Agent 1,playing,7C;TC;QC;2H;3H;5H;JH;KH;4S;QS;9D;TD;JD,,,QC,0:JC,HIGH,0:3S;3:6S,,,0,0;0;0;0,
2025-02-21T10:11:50.121092,ML Agent 2,playing,2C;3C;5C;AC;4H;8H;AH;2S;5S;7S;JS;3D;AD,,,AC,0:JC;1:QC,HIGH,0:3S;3:6S,,,0,0;0;0;0,
2025-02-21T10:11:50.624819,ML Agent 3,playing,8C;TH;QH;6S;9S;TS;KS;AS;2D;4D;5D;7D;8D,,,8C,0:JC;1:QC;2:AC,HIGH,0:3S;3:6S,,,0,0;0;0;0,
2025-02-21T10:11:51.125985,ML Agent 2,playing,2C;3C;5C;4H;8H;AH;2S;5S;7S;JS;3D;AD,,,AH,,HIGH,0:3S;3:6S,AC,JC;QC;AC;8C,1,0;0;1;0,
2025-02-21T10:11:51.629565,ML Agent 3,playing,TH;QH;6S;9S;TS;KS;AS;2D;4D;5D;7D;8D,,,QH,2:AH,HIGH,0:3S;3:6S,8C,JC;QC;AC;8C,1,0;0;1;0,
2025-02-21T10:11:55.789629,ML Agent 1,playing,7C;TC;2H;3H;5H;JH;KH;4S;QS;9D;TD;JD,,,KH,2:AH;3:QH;0:6H,HIGH,0:3S;3:6S,QC,JC;QC;AC;8C,1,0;0;1;0,
2025-02-21T10:11:56.291256,ML Agent 2,playing,2C;3C;5C;4H;8H;2S;5S;7S;JS;3D;AD,,,AD,,HIGH,0:3S;3:6S,AC;AH,JC;QC;AC;8C;AH;QH;6H;KH,2,0;0;2;0,
2025-02-21T10:11:56.793481,ML Agent 3,playing,TH;6S;9S;TS;KS;AS;2D;4D;5D;7D;8D,,,8D,2:AD,HIGH,0:3S;3:6S,8C;QH,JC;QC;AC;8C;AH;QH;6H;KH,2,0;0;2;0,
2025-02-21T10:11:59.363027,ML Agent 1,playing,7C;TC;2H;3H;5H;JH;4S;QS;9D;TD;JD,,,JD,2:AD;3:8D;0:6D,HIGH,0:3S;3:6S,QC;KH,JC;QC;AC;8C;AH;QH;6H;KH,2,0;0;2;0,
2025-02-21T10:11:59.865536,ML Agent 2,playing,2C;3C;5C;4H;8H;2S;5S;7S;JS;3D,,,JS,,HIGH,0:3S;3:6S,AC;AH;AD,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD,3,0;0;3;0,
2025-02-21T10:12:00.367943,ML Agent 3,playing,TH;6S;9S;TS;KS;AS;2D;4D;5D;7D,,,AS,2:JS,HIGH,0:3S;3:6S,8C;QH;8D,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD,3,0;0;3;0,
2025-02-21T10:12:02.841474,ML Agent 1,playing,7C;TC;2H;3H;5H;JH;4S;QS;9D;TD,,,QS,2:JS;3:AS;0:3S,HIGH,0:3S;3:6S,QC;KH;JD,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD,3,0;0;3;0,
2025-02-21T10:12:03.343446,ML Agent 3,playing,TH;6S;9S;TS;KS;2D;4D;5D;7D,,,KS,,HIGH,0:3S;3:6S,8C;QH;8D;AS,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS,4,0;0;3;1,
2025-02-21T10:12:04.619183,ML Agent 1,playing,7C;TC;2H;3H;5H;JH;4S;9D;TD,,,4S,3:KS;0:8S,HIGH,0:3S;3:6S,QC;KH;JD;QS,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS,4,0;0;3;1,
2025-02-21T10:12:05.121295,ML Agent 2,playing,2C;3C;5C;4H;8H;2S;5S;7S;3D,,,7S,3:KS;0:8S;1:4S,HIGH,0:3S;3:6S,AC;AH;AD;JS,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS,4,0;0;3;1,
2025-02-21T10:12:05.624815,ML Agent 3,playing,TH;6S;9S;TS;2D;4D;5D;7D,,,TH,,HIGH,0:3S;3:6S,8C;QH;8D;AS;KS,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S,5,0;0;3;2,
2025-02-21T10:12:07.465189,ML Agent 1,playing,7C;TC;2H;3H;5H;JH;9D;TD,,,JH,3:TH;0:7H,HIGH,0:3S;3:6S,QC;KH;JD;QS;4S,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S,5,0;0;3;2,
2025-02-21T10:12:07.965742,ML Agent 2,playing,2C;3C;5C;4H;8H;2S;5S;3D,,,8H,3:TH;0:7H;1:JH,HIGH,0:3S;3:6S,AC;AH;AD;JS;7S,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S,5,0;0;3;2,
2025-02-21T10:12:08.469865,ML Agent 1,playing,7C;TC;2H;3H;5H;9D;TD,,,TC,,HIGH,0:3S;3:6S,QC;KH;JD;QS;4S;JH,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H,6,0;1;3;2,
2025-02-21T10:12:08.971685,ML Agent 2,playing,2C;3C;5C;4H;2S;5S;3D,,,5C,1:TC,HIGH,0:3S;3:6S,AC;AH;AD;JS;7S;8H,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H,6,0;1;3;2,
2025-02-21T10:12:09.475928,ML Agent 3,playing,6S;9S;TS;2D;4D;5D;7D,,,TS,1:TC;2:5C,HIGH,0:3S;3:6S,8C;QH;8D;AS;KS;TH,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H,6,0;1;3;2,
2025-02-21T10:12:13.918992,ML Agent 1,playing,7C;2H;3H;5H;9D;TD,,,TD,0:KD,HIGH,0:3S;3:6S,QC;KH;JD;QS;4S;JH;TC,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC,7,1;1;3;2,
2025-02-21T10:12:14.420452,ML Agent 2,playing,2C;3C;4H;2S;5S;3D,,,3D,0:KD;1:TD,HIGH,0:3S;3:6S,AC;AH;AD;JS;7S;8H;5C,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC,7,1;1;3;2,
2025-02-21T10:12:14.923195,ML Agent 3,playing,6S;9S;2D;4D;5D;7D,,,7D,0:KD;1:TD;2:3D,HIGH,0:3S;3:6S,8C;QH;8D;AS;KS;TH;TS,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC,7,1;1;3;2,
2025-02-21T10:12:16.301683,ML Agent 1,playing,7C;2H;3H;5H;9D,,,9D,0:QD,HIGH,0:3S;3:6S,QC;KH;JD;QS;4S;JH;TC;TD,JC;QC;AC;8C;AH;QH;6H;KH;AD;8D;6D;JD;JS;AS;3S;QS;KS;8S;4S;7S;TH;7H;JH;8H;TC;5C;TS;KC;KD;TD;3D;7D,8,2;1;3;2,
